timestamp_utc,n_simulations,base_seed,grid_size,copper_layers,jobs,avg_success_rate_pct
2026-06-03T15:06:03Z,10,100,12,2,10,81.67
2026-06-03T15:17:50Z,100,,12,2,10,83.63
2026-06-03T15:18:34Z,100,,12,2,10,81.13
2026-06-03T15:37:43Z,100,5000,12,2,10,79.87
